"created_at","tweet_user_id","followers_count","country","name","coordinates","place_type","text","hashtag","game"
"2019-05-09 19:17:02","979897148383707136","32","United States","El Centro","[[[-115.594987, 32.730647], [-115.594987, 32.818522], [-115.501086, 32.818522], [-115.501086, 32.730647]]]","city","Haven’t played season 9 of @FortniteGame yet but looks promising ... statistically isn’t the new shotgun kinda like… https://t.co/gsK9DJCP4f",NULL,"Fortnite"
"2019-05-09 20:56:06","749197086","541260","France","Chessy","[[[2.747662, 48.854587], [2.747662, 48.889152], [2.791803, 48.889152], [2.791803, 48.854587]]]","city","Less than 24 hours to the SEMI-FINALS UB! We will be playing versus @EvilGeniuses 😤 

⌚️ 20:30 CEST (… https://t.co/Z62dCYBdxC",NULL,"dota2"
"2019-05-09 21:49:35","521595877","1467","United States","College Station","[[[-96.37703, 30.520359], [-96.37703, 30.650584], [-96.206267, 30.650584], [-96.206267, 30.520359]]]","city","Started playing #Fortnite again recently so here’s a minute of “simple” bops ⚡️ https://t.co/Xug0p6apvu","['Fortnite']","Fortnite"
"2019-05-09 21:59:46","2579305230","62","United States","Bakersfield","[[[-119.172179, 35.255821], [-119.172179, 35.437982], [-118.878147, 35.437982], [-118.878147, 35.255821]]]","city","The third and final piece I sent to @BubPopGallery for The Video Game Art Show.
Some Fortnite for it's gain in popu… https://t.co/g29lU3PTCi",NULL,"Fortnite"
"2019-05-09 14:49:03","1117913160","278","United States","Boston","[[[-71.191421, 42.227797], [-71.191421, 42.399542], [-70.986004, 42.399542], [-70.986004, 42.227797]]]","city","Hack the planet. Cosplay: If you know her please tag her. Photo credit: atonesc #sombra #sombracosplay… https://t.co/WysWCk0PkD","['sombra', 'sombracosplay']","overwatch"
"2019-05-09 22:31:55","778018400484388864","52","United States","Columbus","[[[-83.200169, 39.832013], [-83.200169, 40.157354], [-82.771375, 40.157354], [-82.771375, 39.832013]]]","city","It looks like #ThirdPersonThursday is back on https://t.co/tNa9O0rOx9

@agreenriver07 is checking out the new Seaso… https://t.co/X6aeykzqee","['ThirdPersonThursday']","Fortnite"
"2019-05-09 22:46:54","987425216","613","España","Bormujos","[[[-6.119638, 37.344369], [-6.119638, 37.384628], [-6.055902, 37.384628], [-6.055902, 37.344369]]]","city","¿Por qué? 😭 @Fortnite_ES @FortniteGame #Fortniteseason9 #Fortnite https://t.co/SxxZxd8JWe","['Fortniteseason9', 'Fortnite']","Fortnite"
"2019-05-09 22:56:48","1614925796","952","España","Badajoz","[[[-7.160288, 38.554325], [-7.160288, 39.194551], [-6.552066, 39.194551], [-6.552066, 38.554325]]]","city","GRATIS en fortnite #Fortnite
#FortniteSeason9 #fortnitechallenges #fortnitevbucks
https://t.co/CI1dm9vHNJ","['Fortnite', 'FortniteSeason9', 'fortnitechallenges', 'fortnitevbucks']","Fortnite"
"2019-05-09 23:19:31","736649979461242880","586","United States","Queens","[[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]]","city","Oh, an RPG death, I can’t believe it, I’m so shocked #Fortnite https://t.co/zYeUn0JZp5","['Fortnite']","Fortnite"
"2019-05-09 19:17:23","1081472357401800705","235","United States","Winder","[[[-83.766197, 33.954448], [-83.766197, 34.030116], [-83.680453, 34.030116], [-83.680453, 33.954448]]]","city","Are you looking to become a Full-time #Gamer Someone willing to put in the work, stay Motivated &amp; truly believe in… https://t.co/3IPKkVsd1a","['Gamer']","Fortnite"
